topic_id,count,top_words
0,437,"said, year, company, market, growth"
3,379,"mr, said, labour, government, election"
1,329,"england, game, club, wales, players"
2,187,"world, champion, olympic, open, win"
5,159,"mobile, people, technology, phone, said"
7,157,"film, best, actor, awards, director"
4,147,"said, software, people, users, search"
6,133,"music, band, album, song, best"
9,69,"tv, bbc, series, said, channel"
8,68,"games, game, gaming, nintendo, sony"
10,61,"said, countries, aid, world, sri"
